date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:13:45	13181/13181	---M-Z	200	added ('OK')	application/javascript	etag:W/%22666533af-337d%22	https://prium.github.io/freya/v2.1.0/vendors/is/is.min.js	C:/Users/rafiq/OneDrive/Desktop/Clean/Luxurious%20Apartment/prium.github.io/freya/v2.1.0/vendors/is/is.min.js	(from https://prium.github.io/freya/v2.1.0/)
15:13:45	23990/23990	---M-Z	200	added ('OK')	application/javascript	etag:W/%22666533af-5db6%22	https://prium.github.io/freya/v2.1.0/vendors/bigpicture/BigPicture.js	C:/Users/rafiq/OneDrive/Desktop/Clean/Luxurious%20Apartment/prium.github.io/freya/v2.1.0/vendors/bigpicture/BigPicture.js	(from https://prium.github.io/freya/v2.1.0/)
15:13:45	135676/135676	---M-Z	200	added ('OK')	application/javascript	etag:W/%22666533af-211fc%22	https://prium.github.io/freya/v2.1.0/vendors/swiper/swiper-bundle.min.js	C:/Users/rafiq/OneDrive/Desktop/Clean/Luxurious%20Apartment/prium.github.io/freya/v2.1.0/vendors/swiper/swiper-bundle.min.js	(from https://prium.github.io/freya/v2.1.0/)
15:13:46	1196706/1196706	---M-Z	200	added ('OK')	application/javascript	etag:W/%22666533af-1242a2%22	https://prium.github.io/freya/v2.1.0/vendors/fontawesome/all.min.js	C:/Users/rafiq/OneDrive/Desktop/Clean/Luxurious%20Apartment/prium.github.io/freya/v2.1.0/vendors/fontawesome/all.min.js	(from https://prium.github.io/freya/v2.1.0/)
15:13:46	7032/7032	---M-Z	200	added ('OK')	application/javascript	etag:W/%22666533af-1b78%22	https://prium.github.io/freya/v2.1.0/vendors/rellax/rellax.min.js	C:/Users/rafiq/OneDrive/Desktop/Clean/Luxurious%20Apartment/prium.github.io/freya/v2.1.0/vendors/rellax/rellax.min.js	(from https://prium.github.io/freya/v2.1.0/)
15:13:46	73015/73015	---M-Z	200	added ('OK')	application/javascript	etag:W/%22666533af-11d37%22	https://prium.github.io/freya/v2.1.0/vendors/lodash/lodash.min.js	C:/Users/rafiq/OneDrive/Desktop/Clean/Luxurious%20Apartment/prium.github.io/freya/v2.1.0/vendors/lodash/lodash.min.js	(from https://prium.github.io/freya/v2.1.0/)
15:13:47	5594/5594	---M-Z	200	added ('OK')	application/javascript	etag:W/%22666533af-15da%22	https://prium.github.io/freya/v2.1.0/vendors/imagesloaded/imagesloaded.pkgd.min.js	C:/Users/rafiq/OneDrive/Desktop/Clean/Luxurious%20Apartment/prium.github.io/freya/v2.1.0/vendors/imagesloaded/imagesloaded.pkgd.min.js	(from https://prium.github.io/freya/v2.1.0/)
15:13:47	156770/156770	---M-Z	200	added ('OK')	application/javascript	etag:W/%22666533af-26462%22	https://prium.github.io/freya/v2.1.0/vendors/gsap/gsap.js	C:/Users/rafiq/OneDrive/Desktop/Clean/Luxurious%20Apartment/prium.github.io/freya/v2.1.0/vendors/gsap/gsap.js	(from https://prium.github.io/freya/v2.1.0/)
15:13:48	18448/18448	---M-Z	200	added ('OK')	application/javascript	etag:W/%22666533af-4810%22	https://prium.github.io/freya/v2.1.0/vendors/gsap/customEase.js	C:/Users/rafiq/OneDrive/Desktop/Clean/Luxurious%20Apartment/prium.github.io/freya/v2.1.0/vendors/gsap/customEase.js	(from https://prium.github.io/freya/v2.1.0/)
15:13:48	61780/61780	---M-Z	200	added ('OK')	application/javascript	etag:W/%22666533af-f154%22	https://prium.github.io/freya/v2.1.0/assets/js/theme.js	C:/Users/rafiq/OneDrive/Desktop/Clean/Luxurious%20Apartment/prium.github.io/freya/v2.1.0/assets/js/theme.js	(from https://prium.github.io/freya/v2.1.0/)
